id,name,full_name,url,stars,forks
28457823,freeCodeCamp,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,429919,41947
132750724,build-your-own-x,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,425369,39909
21737465,awesome,sindresorhus/awesome,https://github.com/sindresorhus/awesome,405694,31834
13491895,free-programming-books,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,372065,64681
54346799,public-apis,public-apis/public-apis,https://github.com/public-apis/public-apis,367966,38720
85077558,developer-roadmap,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,339988,43073
60493101,coding-interview-university,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,330867,80863
83222441,system-design-primer,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,322378,52610
177736533,996.ICU,996icu/996.ICU,https://github.com/996icu/996.ICU,274514,21044
21289110,awesome-python,vinta/awesome-python,https://github.com/vinta/awesome-python,263405,26409
36633370,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,251698,11674
88011908,project-based-learning,practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,246146,32184
10270250,react,facebook/react,https://github.com/facebook/react,239628,49519
63476337,Python,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,210420,48559
11730342,vue,vuejs/vue,https://github.com/vuejs/vue,209543,33793
2325298,linux,torvalds/linux,https://github.com/torvalds/linux,204562,58072
19415064,computer-science,ossu/computer-science,https://github.com/ossu/computer-science,195090,24323
126577260,javascript-algorithms,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,193482,30906
45717250,tensorflow,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,191969,74902
138393139,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,189138,11678
14440270,You-Dont-Know-JS,getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,183486,33662
121395510,CS-Notes,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,182461,51249
291137,ohmyzsh,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,181919,26256
614765452,AutoGPT,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,178901,46012
41881900,vscode,microsoft/vscode,https://github.com/microsoft/vscode,177385,35441
2126244,bootstrap,twbs/bootstrap,https://github.com/twbs/bootstrap,173525,79165
31792824,flutter,flutter/flutter,https://github.com/flutter/flutter,173259,29322
